ID,Language,Setting,Label
92088,EN,zero_shot,0
89693,EN,zero_shot,1
85039,EN,zero_shot,0
9458,EN,zero_shot,0
79940,EN,zero_shot,1
83327,EN,zero_shot,1
22531,EN,zero_shot,1
70110,EN,zero_shot,1
95668,EN,zero_shot,1
32187,EN,zero_shot,0
21517,EN,zero_shot,1
60689,EN,zero_shot,0
49835,EN,zero_shot,1
35482,EN,zero_shot,1
83986,EN,zero_shot,1
90298,EN,zero_shot,1
73100,EN,zero_shot,1
28885,EN,zero_shot,1
89833,EN,zero_shot,1
42604,EN,zero_shot,0
7431,EN,zero_shot,0
30121,EN,zero_shot,0
4307,EN,zero_shot,1
41447,EN,zero_shot,0
52681,EN,zero_shot,0
35193,EN,zero_shot,0
8775,EN,zero_shot,0
27753,EN,zero_shot,0
74441,EN,zero_shot,0
94198,EN,zero_shot,1
41345,EN,zero_shot,0
27969,EN,zero_shot,0
86009,EN,zero_shot,0
65535,EN,zero_shot,0
51956,EN,zero_shot,0
84359,EN,zero_shot,1
60242,EN,zero_shot,1
18826,EN,zero_shot,1
34818,EN,zero_shot,1
18401,EN,zero_shot,1
32425,EN,zero_shot,1
97747,EN,zero_shot,1
73679,EN,zero_shot,1
70744,EN,zero_shot,1
34538,EN,zero_shot,1
98012,EN,zero_shot,1
76722,EN,zero_shot,1
56255,EN,zero_shot,1
76584,EN,zero_shot,1
52450,EN,zero_shot,1
47547,EN,zero_shot,1
28846,EN,zero_shot,1
18231,EN,zero_shot,1
66884,EN,zero_shot,1
64786,EN,zero_shot,1
12015,EN,zero_shot,1
99161,EN,zero_shot,1
6275,EN,zero_shot,1
14471,EN,zero_shot,1
20133,EN,zero_shot,1
82340,EN,zero_shot,1
21069,EN,zero_shot,1
89292,EN,zero_shot,1
55433,EN,zero_shot,0
78272,EN,zero_shot,1
8426,EN,zero_shot,1
50532,EN,zero_shot,0
50119,EN,zero_shot,1
78204,EN,zero_shot,1
61448,EN,zero_shot,1
69452,EN,zero_shot,1
33053,EN,zero_shot,1
72612,EN,zero_shot,1
1604,EN,zero_shot,0
89266,EN,zero_shot,0
94566,EN,zero_shot,0
15114,EN,zero_shot,0
89453,EN,zero_shot,0
70481,EN,zero_shot,0
98519,EN,zero_shot,0
35073,EN,zero_shot,0
84112,EN,zero_shot,0
44687,EN,zero_shot,0
14721,EN,zero_shot,0
38569,EN,zero_shot,0
57085,EN,zero_shot,0
20830,EN,zero_shot,1
59570,EN,zero_shot,0
525,EN,zero_shot,0
94746,EN,zero_shot,0
94429,EN,zero_shot,0
34622,EN,zero_shot,0
65712,EN,zero_shot,0
99971,EN,zero_shot,0
23516,EN,zero_shot,0
66642,EN,zero_shot,0
14047,EN,zero_shot,0
82059,EN,zero_shot,0
39217,EN,zero_shot,0
83848,EN,zero_shot,0
66640,EN,zero_shot,0
79918,EN,zero_shot,0
26171,EN,zero_shot,1
20132,EN,zero_shot,1
49109,EN,zero_shot,0
21274,EN,zero_shot,0
70797,EN,zero_shot,0
69614,EN,zero_shot,0
174,EN,zero_shot,0
78604,EN,zero_shot,0
42587,EN,zero_shot,0
64142,EN,zero_shot,0
2652,EN,zero_shot,0
14762,EN,zero_shot,0
47676,EN,zero_shot,0
40406,EN,zero_shot,1
31485,EN,zero_shot,1
7692,EN,zero_shot,1
31671,EN,zero_shot,0
74464,EN,zero_shot,0
10422,EN,zero_shot,0
11326,EN,zero_shot,0
96032,EN,zero_shot,0
63799,EN,zero_shot,0
9171,EN,zero_shot,0
99793,EN,zero_shot,0
69922,EN,zero_shot,0
16583,EN,zero_shot,0
16928,EN,zero_shot,0
86574,EN,zero_shot,0
62396,EN,zero_shot,0
72163,EN,zero_shot,0
21743,EN,zero_shot,0
34841,EN,zero_shot,1
69263,EN,zero_shot,0
79607,EN,zero_shot,0
55561,EN,zero_shot,0
27860,EN,zero_shot,0
70786,EN,zero_shot,0
99094,EN,zero_shot,0
95773,EN,zero_shot,0
90522,EN,zero_shot,0
26465,EN,zero_shot,0
93547,EN,zero_shot,0
40957,EN,zero_shot,0
52396,EN,zero_shot,0
88139,EN,zero_shot,0
85280,EN,zero_shot,0
49044,EN,zero_shot,0
57522,EN,zero_shot,0
67939,EN,zero_shot,0
59277,EN,zero_shot,0
15960,EN,zero_shot,0
32593,EN,zero_shot,0
29551,EN,zero_shot,0
8492,EN,zero_shot,0
44413,EN,zero_shot,0
2857,EN,zero_shot,0
77210,EN,zero_shot,0
72703,EN,zero_shot,0
30261,EN,zero_shot,0
77228,EN,zero_shot,0
28964,EN,zero_shot,1
1042,EN,zero_shot,1
9405,EN,zero_shot,1
92878,EN,zero_shot,1
82819,EN,zero_shot,1
7816,EN,zero_shot,1
30107,EN,zero_shot,1
8934,EN,zero_shot,1
4217,EN,zero_shot,1
43409,EN,zero_shot,1
9387,EN,zero_shot,0
67491,EN,zero_shot,0
31295,EN,zero_shot,1
36600,EN,zero_shot,1
87784,EN,zero_shot,1
63724,EN,zero_shot,1
28180,EN,zero_shot,0
70778,EN,zero_shot,1
17442,EN,zero_shot,1
94911,EN,zero_shot,1
74947,EN,zero_shot,1
75625,EN,zero_shot,1
62053,EN,zero_shot,1
31950,EN,zero_shot,1
62093,EN,zero_shot,1
53454,EN,zero_shot,1
25057,EN,zero_shot,1
12463,EN,zero_shot,1
12804,EN,zero_shot,1
86474,EN,zero_shot,1
56598,EN,zero_shot,1
46538,EN,zero_shot,1
55619,EN,zero_shot,1
53983,EN,zero_shot,1
61313,EN,zero_shot,1
95661,EN,zero_shot,1
7200,EN,zero_shot,0
88359,EN,zero_shot,1
85749,EN,zero_shot,1
84796,EN,zero_shot,1
12999,EN,zero_shot,0
8044,EN,zero_shot,0
52872,EN,zero_shot,0
95548,EN,zero_shot,0
44573,EN,zero_shot,1
14422,EN,zero_shot,1
32691,EN,zero_shot,1
25212,EN,zero_shot,1
25031,EN,zero_shot,1
70392,EN,zero_shot,1
58900,EN,zero_shot,1
18473,EN,zero_shot,1
55396,EN,zero_shot,1
24150,EN,zero_shot,1
36609,EN,zero_shot,1
60737,EN,zero_shot,1
32842,EN,zero_shot,0
9980,EN,zero_shot,0
58182,EN,zero_shot,1
72232,EN,zero_shot,1
12933,EN,zero_shot,0
6730,EN,zero_shot,0
85577,EN,zero_shot,0
70955,EN,zero_shot,0
2034,EN,zero_shot,0
12324,EN,zero_shot,0
98871,EN,zero_shot,0
31082,EN,zero_shot,0
21898,EN,zero_shot,0
53369,EN,zero_shot,0
63753,EN,zero_shot,0
63192,EN,zero_shot,0
28116,EN,zero_shot,1
52665,EN,zero_shot,1
7785,EN,zero_shot,1
21679,EN,zero_shot,0
49772,EN,zero_shot,1
382,EN,zero_shot,1
51273,EN,zero_shot,1
34860,EN,zero_shot,1
59738,EN,zero_shot,1
37488,EN,zero_shot,1
55544,EN,zero_shot,1
91403,EN,zero_shot,1
95848,EN,zero_shot,1
72945,EN,zero_shot,1
86852,EN,zero_shot,1
94263,EN,zero_shot,1
63888,EN,zero_shot,0
20389,EN,zero_shot,1
24990,EN,zero_shot,0
38990,EN,zero_shot,1
28634,EN,zero_shot,0
7765,EN,zero_shot,0
76014,EN,zero_shot,0
96534,EN,zero_shot,0
71166,EN,zero_shot,0
8089,EN,zero_shot,1
98138,EN,zero_shot,1
41204,EN,zero_shot,0
7592,EN,zero_shot,1
6672,EN,zero_shot,1
76669,EN,zero_shot,1
62593,EN,zero_shot,1
66009,EN,zero_shot,0
69715,EN,zero_shot,0
20735,EN,zero_shot,0
7555,EN,zero_shot,1
66662,EN,zero_shot,1
10600,EN,zero_shot,1
24456,EN,zero_shot,1
9081,EN,zero_shot,1
78092,EN,zero_shot,1
9007,EN,zero_shot,1
88601,EN,zero_shot,1
30928,EN,zero_shot,1
53023,EN,zero_shot,1
15813,EN,zero_shot,1
74768,EN,zero_shot,1
32371,EN,zero_shot,1
75980,EN,zero_shot,1
78024,EN,zero_shot,1
5309,EN,zero_shot,1
81283,EN,zero_shot,1
10845,EN,zero_shot,1
55048,EN,zero_shot,1
86263,EN,zero_shot,1
76603,EN,zero_shot,1
74185,EN,zero_shot,1
68622,EN,zero_shot,1
41567,EN,zero_shot,1
34279,EN,zero_shot,1
26872,EN,zero_shot,1
87882,EN,zero_shot,1
93972,EN,zero_shot,1
41280,EN,zero_shot,1
31385,EN,zero_shot,1
34914,EN,zero_shot,1
51976,EN,zero_shot,1
17254,EN,zero_shot,1
84707,EN,zero_shot,1
39421,EN,zero_shot,1
60029,EN,zero_shot,1
41541,EN,zero_shot,1
98648,EN,zero_shot,1
9608,EN,zero_shot,1
1320,EN,zero_shot,1
60168,EN,zero_shot,1
81516,EN,zero_shot,1
73892,EN,zero_shot,0
13204,EN,zero_shot,1
9702,EN,zero_shot,1
70568,EN,zero_shot,1
28038,EN,zero_shot,1
66407,EN,zero_shot,1
17461,EN,zero_shot,1
45845,EN,zero_shot,1
9116,EN,zero_shot,1
32118,EN,zero_shot,1
48534,EN,zero_shot,1
37453,EN,zero_shot,1
20776,EN,zero_shot,1
57533,EN,zero_shot,1
71300,EN,zero_shot,1
92314,EN,zero_shot,1
39751,EN,zero_shot,1
80273,EN,zero_shot,1
85817,EN,zero_shot,1
69429,EN,zero_shot,1
1125,EN,zero_shot,1
87638,EN,zero_shot,1
72792,EN,zero_shot,1
39340,EN,zero_shot,1
87051,EN,zero_shot,1
13677,EN,zero_shot,1
17701,EN,zero_shot,0
34764,EN,zero_shot,0
15229,EN,zero_shot,1
14129,EN,zero_shot,0
97410,EN,zero_shot,1
20474,EN,zero_shot,1
35797,EN,zero_shot,1
37030,EN,zero_shot,1
79376,EN,zero_shot,1
27707,EN,zero_shot,1
94158,EN,zero_shot,1
45042,EN,zero_shot,1
26785,EN,zero_shot,1
90211,EN,zero_shot,0
83230,EN,zero_shot,0
34700,EN,zero_shot,1
66344,EN,zero_shot,0
64132,EN,zero_shot,1
33014,EN,zero_shot,0
6758,EN,zero_shot,1
12197,EN,zero_shot,1
83236,EN,zero_shot,1
55618,EN,zero_shot,0
36365,EN,zero_shot,1
5878,EN,zero_shot,1
564,EN,zero_shot,1
43819,EN,zero_shot,1
17246,EN,zero_shot,0
83607,EN,zero_shot,0
34435,EN,zero_shot,1
21278,EN,zero_shot,1
97254,EN,zero_shot,0
58012,EN,zero_shot,1
72409,EN,zero_shot,0
92593,EN,zero_shot,1
56157,EN,zero_shot,1
73619,EN,zero_shot,1
1367,EN,zero_shot,1
14763,EN,zero_shot,1
9962,EN,zero_shot,0
90673,EN,zero_shot,0
19636,EN,zero_shot,1
71611,EN,zero_shot,0
4822,EN,zero_shot,1
48493,EN,zero_shot,1
76450,EN,zero_shot,1
72520,EN,zero_shot,1
19510,EN,zero_shot,1
56433,EN,zero_shot,1
16804,EN,zero_shot,1
5582,EN,zero_shot,1
40504,EN,zero_shot,1
47895,EN,zero_shot,1
5329,EN,zero_shot,1
46998,EN,zero_shot,1
27635,EN,zero_shot,1
89499,EN,zero_shot,1
32806,EN,zero_shot,1
87516,EN,zero_shot,1
13573,PT,zero_shot,1
46457,PT,zero_shot,1
73485,PT,zero_shot,1
53364,PT,zero_shot,1
81451,PT,zero_shot,1
98335,PT,zero_shot,1
20357,PT,zero_shot,1
31129,PT,zero_shot,1
21399,PT,zero_shot,1
23306,PT,zero_shot,1
54140,PT,zero_shot,1
3348,PT,zero_shot,1
23609,PT,zero_shot,1
96642,PT,zero_shot,1
43640,PT,zero_shot,1
54064,PT,zero_shot,1
87906,PT,zero_shot,1
96445,PT,zero_shot,1
32627,PT,zero_shot,1
35070,PT,zero_shot,1
20966,PT,zero_shot,1
92017,PT,zero_shot,1
14268,PT,zero_shot,1
50240,PT,zero_shot,1
5175,PT,zero_shot,0
61794,PT,zero_shot,0
29254,PT,zero_shot,0
26258,PT,zero_shot,0
60432,PT,zero_shot,0
45930,PT,zero_shot,0
40101,PT,zero_shot,0
29931,PT,zero_shot,1
29319,PT,zero_shot,0
3201,PT,zero_shot,0
86611,PT,zero_shot,0
25413,PT,zero_shot,0
52327,PT,zero_shot,0
43125,PT,zero_shot,1
36617,PT,zero_shot,0
9199,PT,zero_shot,1
36685,PT,zero_shot,1
46125,PT,zero_shot,1
84180,PT,zero_shot,0
66868,PT,zero_shot,1
52486,PT,zero_shot,1
89165,PT,zero_shot,1
70382,PT,zero_shot,0
43504,PT,zero_shot,1
3717,PT,zero_shot,1
15218,PT,zero_shot,1
34337,PT,zero_shot,1
23505,PT,zero_shot,0
76199,PT,zero_shot,0
34895,PT,zero_shot,0
5114,PT,zero_shot,0
14308,PT,zero_shot,0
78293,PT,zero_shot,1
57059,PT,zero_shot,0
45409,PT,zero_shot,0
95591,PT,zero_shot,0
41214,PT,zero_shot,0
57299,PT,zero_shot,0
79557,PT,zero_shot,1
67133,PT,zero_shot,1
15257,PT,zero_shot,0
50588,PT,zero_shot,0
75674,PT,zero_shot,1
25014,PT,zero_shot,1
33486,PT,zero_shot,0
5917,PT,zero_shot,0
93001,PT,zero_shot,0
57254,PT,zero_shot,0
321,PT,zero_shot,0
68246,PT,zero_shot,0
70675,PT,zero_shot,0
90127,PT,zero_shot,0
94397,PT,zero_shot,0
97348,PT,zero_shot,0
96705,PT,zero_shot,0
88000,PT,zero_shot,0
25925,PT,zero_shot,0
47839,PT,zero_shot,0
56631,PT,zero_shot,0
9271,PT,zero_shot,1
87162,PT,zero_shot,0
43379,PT,zero_shot,0
81778,PT,zero_shot,0
41245,PT,zero_shot,0
16434,PT,zero_shot,0
94439,PT,zero_shot,0
39463,PT,zero_shot,0
66569,PT,zero_shot,0
40638,PT,zero_shot,1
87510,PT,zero_shot,1
53628,PT,zero_shot,1
42853,PT,zero_shot,1
52843,PT,zero_shot,1
91484,PT,zero_shot,1
38852,PT,zero_shot,1
72767,PT,zero_shot,1
16783,PT,zero_shot,1
25244,PT,zero_shot,1
55208,PT,zero_shot,1
87253,PT,zero_shot,1
49795,PT,zero_shot,1
88877,PT,zero_shot,1
98159,PT,zero_shot,1
22910,PT,zero_shot,1
80776,PT,zero_shot,0
74693,PT,zero_shot,1
39546,PT,zero_shot,1
53325,PT,zero_shot,1
71919,PT,zero_shot,1
153,PT,zero_shot,1
39929,PT,zero_shot,1
37706,PT,zero_shot,1
27649,PT,zero_shot,1
56446,PT,zero_shot,1
76119,PT,zero_shot,1
79616,PT,zero_shot,1
85913,PT,zero_shot,1
42337,PT,zero_shot,1
61046,PT,zero_shot,1
58005,PT,zero_shot,1
58054,PT,zero_shot,1
88655,PT,zero_shot,1
28110,PT,zero_shot,1
67100,PT,zero_shot,1
62121,PT,zero_shot,1
96563,PT,zero_shot,0
22341,PT,zero_shot,0
86456,PT,zero_shot,1
11214,PT,zero_shot,1
37296,PT,zero_shot,1
67661,PT,zero_shot,1
87112,PT,zero_shot,1
83060,PT,zero_shot,0
81267,PT,zero_shot,0
44033,PT,zero_shot,0
12340,PT,zero_shot,0
98553,PT,zero_shot,0
30884,PT,zero_shot,0
88284,PT,zero_shot,0
40787,PT,zero_shot,1
29544,PT,zero_shot,1
26200,PT,zero_shot,1
19413,PT,zero_shot,1
3301,PT,zero_shot,0
6157,PT,zero_shot,0
32192,PT,zero_shot,0
62377,PT,zero_shot,0
80220,PT,zero_shot,0
9645,PT,zero_shot,1
59792,PT,zero_shot,1
54421,PT,zero_shot,1
82644,PT,zero_shot,0
75554,PT,zero_shot,1
25585,PT,zero_shot,0
94255,PT,zero_shot,0
91372,PT,zero_shot,0
50428,PT,zero_shot,0
64899,PT,zero_shot,0
52483,PT,zero_shot,0
32079,PT,zero_shot,0
19442,PT,zero_shot,0
86090,PT,zero_shot,0
90228,PT,zero_shot,0
826,PT,zero_shot,1
98530,PT,zero_shot,0
14070,PT,zero_shot,0
55824,PT,zero_shot,0
28783,PT,zero_shot,0
23153,PT,zero_shot,0
91314,PT,zero_shot,0
67989,PT,zero_shot,0
60989,PT,zero_shot,0
6682,PT,zero_shot,0
73160,PT,zero_shot,0
32762,PT,zero_shot,0
16006,PT,zero_shot,1
59929,PT,zero_shot,1
17577,PT,zero_shot,0
61001,PT,zero_shot,0
87600,PT,zero_shot,0
69716,PT,zero_shot,0
73359,PT,zero_shot,0
78147,PT,zero_shot,0
41688,PT,zero_shot,0
99092,PT,zero_shot,0
58108,PT,zero_shot,0
80401,PT,zero_shot,0
94376,PT,zero_shot,0
66262,PT,zero_shot,0
56033,PT,zero_shot,0
71910,PT,zero_shot,0
58546,PT,zero_shot,0
20961,PT,zero_shot,0
97572,PT,zero_shot,0
62316,PT,zero_shot,0
59091,PT,zero_shot,0
34072,PT,zero_shot,0
98636,PT,zero_shot,0
32506,PT,zero_shot,0
83679,PT,zero_shot,0
36447,PT,zero_shot,0
68427,PT,zero_shot,0
63617,PT,zero_shot,0
82249,PT,zero_shot,0
31458,PT,zero_shot,1
36092,PT,zero_shot,0
57754,PT,zero_shot,0
10255,PT,zero_shot,0
93625,PT,zero_shot,0
37550,PT,zero_shot,0
30835,PT,zero_shot,0
35714,PT,zero_shot,0
44120,PT,zero_shot,0
42004,PT,zero_shot,0
70898,PT,zero_shot,0
10661,PT,zero_shot,0
18236,PT,zero_shot,0
19869,PT,zero_shot,0
30411,PT,zero_shot,0
50305,PT,zero_shot,0
91057,PT,zero_shot,0
20128,PT,zero_shot,0
92691,PT,zero_shot,1
28143,PT,zero_shot,0
8518,PT,zero_shot,0
54477,PT,zero_shot,0
53524,PT,zero_shot,0
43469,PT,zero_shot,0
71221,PT,zero_shot,0
61169,PT,zero_shot,0
54596,PT,zero_shot,0
8261,PT,zero_shot,0
27210,PT,zero_shot,1
55169,PT,zero_shot,1
51149,PT,zero_shot,1
76656,PT,zero_shot,1
91263,PT,zero_shot,1
2660,PT,zero_shot,1
75556,PT,zero_shot,1
49957,PT,zero_shot,1
62618,PT,zero_shot,1
872,PT,zero_shot,1
46205,PT,zero_shot,1
39239,PT,zero_shot,1
98859,PT,zero_shot,0
51216,PT,zero_shot,1
55021,PT,zero_shot,1
70645,PT,zero_shot,1
98078,PT,zero_shot,1
96389,PT,zero_shot,1
71682,PT,zero_shot,0
79169,PT,zero_shot,0
29006,PT,zero_shot,0
64093,PT,zero_shot,0
28860,PT,zero_shot,0
35874,PT,zero_shot,0
57225,PT,zero_shot,0
63754,PT,zero_shot,0
3904,PT,zero_shot,0
51068,PT,zero_shot,0
44157,PT,zero_shot,0
87770,PT,zero_shot,0
89116,PT,zero_shot,0
53094,PT,zero_shot,0
95019,PT,zero_shot,0
21732,PT,zero_shot,0
61361,PT,zero_shot,0
16828,PT,zero_shot,0
81660,PT,zero_shot,0
70108,PT,zero_shot,0
3634,PT,zero_shot,0
51745,PT,zero_shot,0
77680,PT,zero_shot,0
74075,PT,zero_shot,0
87000,PT,zero_shot,0
